Gene stable ID	Gene type	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene start (bp)	Gene end (bp)	Strand	Chromosome/scaffold name	Gene description
ENSG00000292235	unprocessed_pseudogene	ENSG00000292235.1	ENST00000710296	ENST00000710296.1	564764	571773	1	HG1343_HG173_HG459_PATCH	phosphodiesterase 4D interacting protein (myomegalin) (PDE4DIP) pseudogene
ENSG00000292236	processed_pseudogene	ENSG00000292236.1	ENST00000710297	ENST00000710297.1	567488	567922	1	HG1343_HG173_HG459_PATCH	phosphodiesterase 4D interacting protein (PDE4DIP) pseudogene
ENSG00000292238	unprocessed_pseudogene	ENSG00000292238.1	ENST00000710299	ENST00000710299.1	679318	683976	1	HG1343_HG173_HG459_PATCH	macrophage stimulating 1 (MST1) pseudogene
ENSG00000292239	unprocessed_pseudogene	ENSG00000292239.1	ENST00000710300	ENST00000710300.1	767483	772149	1	HG1343_HG173_HG459_PATCH	macrophage stimulating 1 (MST1) pseudogene
ENSG00000292240	unprocessed_pseudogene	ENSG00000292240.1	ENST00000710301	ENST00000710301.1	886318	891041	-1	HG1343_HG173_HG459_PATCH	macrophage stimulating 1 (MST1) pseudogene
ENSG00000292241	unprocessed_pseudogene	ENSG00000292241.1	ENST00000710302	ENST00000710302.1	974464	979128	-1	HG1343_HG173_HG459_PATCH	macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2
ENSG00000292242	unprocessed_pseudogene	ENSG00000292242.1	ENST00000710303	ENST00000710303.1	1161819	1166487	-1	HG1343_HG173_HG459_PATCH	macrophage stimulating 1 (MST1) pseudogene
ENSG00000292229	unprocessed_pseudogene	ENSG00000292229.1	ENST00000710280	ENST00000710280.1	434287	466213	-1	HG1343_HG173_HG459_PATCH	ciliary rootlet coiled-coil, rootletin (CROCC) pseudogene
ENSG00000281819	processed_pseudogene	ENSG00000281819.1	ENST00000625975	ENST00000625975.1	15874	16374	-1	HG142_HG150_NOVEL_TEST	NAA50 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55920]
ENSG00000280712	unprocessed_pseudogene	ENSG00000280712.1	ENST00000627820	ENST00000627820.1	107290	108220	-1	HG142_HG150_NOVEL_TEST	olfactory receptor family 8 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14828]
ENSG00000281773	unprocessed_pseudogene	ENSG00000281773.1	ENST00000628449	ENST00000628449.1	142096	143237	-1	HG142_HG150_NOVEL_TEST	family with sequence similarity 8 member A2, pseudogene [Source:HGNC Symbol;Acc:HGNC:16373]
ENSG00000280617	unprocessed_pseudogene	ENSG00000280617.1	ENST00000628251	ENST00000628251.1	145891	146817	1	HG142_HG150_NOVEL_TEST	olfactory receptor family 8 subfamily K member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:14832]
ENSG00000281820	processed_pseudogene	ENSG00000281820.1	ENST00000627504	ENST00000627504.1	168077	168970	1	HG142_HG150_NOVEL_TEST	ribosomal protein L5 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:36335]
ENSG00000280577	unprocessed_pseudogene	ENSG00000280577.1	ENST00000625334	ENST00000625334.1	199990	200944	1	HG142_HG150_NOVEL_TEST	olfactory receptor family 8 subfamily L member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15316]
ENSG00000288394	unprocessed_pseudogene	ENSG00000288394.1	ENST00000672763	ENST00000672763.1	359700	362893	1	HG1485_PATCH	ATP binding cassette subfamily D member 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:65]
ENSG00000288228	processed_pseudogene	ENSG00000288228.1	ENST00000673179	ENST00000673179.1	377336	377423	1	HG1485_PATCH	zinc finger, CDGSH-type domain 2 (ZCD2) pseudogene
ENSG00000288342	unprocessed_pseudogene	ENSG00000288342.1	ENST00000673525	ENST00000673525.1	395949	398037	1	HG1485_PATCH	poly(A) binding protein cytoplasmic 1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:37991]
ENSG00000288315	unprocessed_pseudogene	ENSG00000288315.1	ENST00000672109	ENST00000672109.1	400953	448876	-1	HG1485_PATCH	solute carrier family 9 member B1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43583]
ENSG00000288272	processed_pseudogene	ENSG00000288272.1	ENST00000672454	ENST00000672454.1	458991	460328	1	HG1485_PATCH	ACTR3B pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:38683]
ENSG00000281442	processed_pseudogene	ENSG00000281442.1	ENST00000629871	ENST00000629871.1	80161	80487	1	HG1362_PATCH	prothymosin alpha pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:34054]
ENSG00000281683	processed_pseudogene	ENSG00000281683.1	ENST00000625745	ENST00000625745.1	54158	54304	-1	HG151_NOVEL_TEST	GNAS complex locus (GNAS) pseudogene
ENSG00000262268	unprocessed_pseudogene	ENSG00000262268.3	ENST00000572137	ENST00000572137.2	58021	58938	1	HG151_NOVEL_TEST	olfactory receptor family 9 subfamily G member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15321]
ENSG00000281777	unprocessed_pseudogene	ENSG00000281777.1	ENST00000625734	ENST00000625734.1	68865	69744	-1	HG151_NOVEL_TEST	olfactory receptor family 9 subfamily G member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15320]
ENSG00000281313	unprocessed_pseudogene	ENSG00000281313.1	ENST00000627632	ENST00000627632.1	93103	94048	-1	HG151_NOVEL_TEST	olfactory receptor family 5 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8344]
ENSG00000281279	unprocessed_pseudogene	ENSG00000281279.1	ENST00000627954	ENST00000627954.1	108048	108807	-1	HG151_NOVEL_TEST	olfactory receptor family 5 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:15288]
ENSG00000262535	transcribed_unprocessed_pseudogene	ENSG00000262535.6	ENST00000630430	ENST00000630430.1	119698	120636	-1	HG151_NOVEL_TEST	olfactory receptor family 5 subfamily G member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15289]
ENSG00000280475	processed_pseudogene	ENSG00000280475.1	ENST00000631171	ENST00000631171.1	124260	124770	1	HG1362_PATCH	ribosomal protein L21 pseudogene 100 [Source:HGNC Symbol;Acc:HGNC:36048]
ENSG00000281874	processed_pseudogene	ENSG00000281874.1	ENST00000627522	ENST00000627522.1	217989	218425	1	HG1362_PATCH	ubiquitin-conjugating enzyme E2 variant 2 (UBE2V2) pseudogene
ENSG00000281051	processed_pseudogene	ENSG00000281051.1	ENST00000630767	ENST00000630767.1	307774	308252	1	HG1362_PATCH	ribosomal protein L23a pseudogene 66 [Source:HGNC Symbol;Acc:HGNC:35940]
ENSG00000281168	processed_pseudogene	ENSG00000281168.1	ENST00000625448	ENST00000625448.1	421106	421484	-1	HG1362_PATCH	adaptor-related protein complex 3, sigma 1 subunit (AP3S1) pseudogene
ENSG00000281525	processed_pseudogene	ENSG00000281525.1	ENST00000631212	ENST00000631212.1	537204	537779	-1	HG1362_PATCH	ribosomal protein L19 (RPL19) pseudogene
ENSG00000288406	processed_pseudogene	ENSG00000288406.1	ENST00000672344	ENST00000672344.1	45607	45750	1	HG1384_PATCH	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa (POLR2K) pseudogene
ENSG00000292328	processed_pseudogene	ENSG00000292328.1	ENST00000711122	ENST00000711122.1	1008503	1010101	-1	Y	ribosomal protein L14 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37720]
ENSG00000292329	unprocessed_pseudogene	ENSG00000292329.1	ENST00000711121	ENST00000711121.1	253743	255091	1	Y	regucalcin (RGN) pseudogene
ENSG00000292352	processed_pseudogene	ENSG00000292352.1	ENST00000711147	ENST00000711147.1	523775	524102	-1	Y	fatty acid binding protein 5 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:38717]
ENSG00000292353	processed_pseudogene	ENSG00000292353.1	ENST00000711146	ENST00000711146.1	545236	545352	-1	Y	keratin 18 pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:38714]
ENSG00000292356	rRNA_pseudogene	ENSG00000292356.1	ENST00000711139	ENST00000711139.1	1300256	1300375	-1	Y	RNA, 5S ribosomal pseudogene 498 [Source:HGNC Symbol;Acc:HGNC:43398]
ENSG00000292361	transcribed_unprocessed_pseudogene	ENSG00000292361.1	ENST00000711244	ENST00000711244.1	2609415	2623453	1	Y	CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]
ENSG00000285019	processed_pseudogene	ENSG00000285019.1	ENST00000642532	ENST00000642532.1	52742	53074	-1	HG1535_PATCH	elongin C pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:38140]
ENSG00000285196	unprocessed_pseudogene	ENSG00000285196.1	ENST00000643054	ENST00000643054.1	58534	60100	-1	HG1535_PATCH	chromodomain Y-linked 10 pseudogene [Source:HGNC Symbol;Acc:HGNC:23848]
ENSG00000285308	unprocessed_pseudogene	ENSG00000285308.1	ENST00000647527	ENST00000647527.1	82985	95067	1	HG1535_PATCH	USP9Y pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37739]
ENSG00000285028	unprocessed_pseudogene	ENSG00000285028.1	ENST00000644360	ENST00000644360.1	98305	102177	-1	HG1535_PATCH	USP9Y pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:38424]
ENSG00000285455	unprocessed_pseudogene	ENSG00000285455.1	ENST00000645951	ENST00000645951.1	117629	119279	1	HG1535_PATCH	chromodomain Y-linked 11 pseudogene [Source:HGNC Symbol;Acc:HGNC:23852]
ENSG00000285477	unprocessed_pseudogene	ENSG00000285477.1	ENST00000646767	ENST00000646767.1	198642	199281	-1	HG1535_PATCH	OFD1 pseudogene 16 Y-linked [Source:HGNC Symbol;Acc:HGNC:18213]
ENSG00000292364	processed_pseudogene	ENSG00000292364.1	ENST00000711258	ENST00000711258.1	57015105	57016096	-1	Y	adenosylmethionine decarboxylase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:460]
ENSG00000292365	processed_pseudogene	ENSG00000292365.1	ENST00000711259	ENST00000711259.1	57062156	57062405	1	Y	diphthamide biosynthesis 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38719]
ENSG00000292367	processed_pseudogene	ENSG00000292367.1	ENST00000711266	ENST00000711266.1	57165512	57165845	-1	Y	elongin C pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:38160]
ENSG00000292368	processed_pseudogene	ENSG00000292368.1	ENST00000711267	ENST00000711267.1	57171890	57172769	-1	Y	TRPC6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23270]
ENSG00000292371	unprocessed_pseudogene	ENSG00000292371.1	ENST00000711270	ENST00000711270.1	57212184	57214397	-1	Y	DEAD/H-box helicase 11 like 16 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37115]
ENSG00000215601	unprocessed_pseudogene	ENSG00000215601.3	ENST00000431340	ENST00000431340.1	8280198	8282209	1	Y	testis specific protein Y-linked 24, pseudogene [Source:HGNC Symbol;Acc:HGNC:38725]
ENSG00000215603	processed_pseudogene	ENSG00000215603.4	ENST00000415010	ENST00000415010.1	7853686	7854876	-1	Y	zinc finger protein 92 pseudogene 1, Y-linked [Source:HGNC Symbol;Acc:HGNC:39553]
ENSG00000225878	processed_pseudogene	ENSG00000225878.1	ENST00000436888	ENST00000436888.1	4801685	4802848	-1	Y	SERPINE1 mRNA binding protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23967]
ENSG00000236435	unprocessed_pseudogene	ENSG00000236435.1	ENST00000421279	ENST00000421279.1	7687739	7689548	-1	Y	testis specific protein Y-linked 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23904]
ENSG00000258991	unprocessed_pseudogene	ENSG00000258991.1	ENST00000557448	ENST00000557448.1	11332329	11333595	1	Y	double homeobox 4 like 19 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37718]
ENSG00000224518	processed_pseudogene	ENSG00000224518.2	ENST00000427212	ENST00000427212.2	14941746	14942715	1	Y	cytochrome c, somatic (CYCS) pseudogene
ENSG00000231988	unprocessed_pseudogene	ENSG00000231988.1	ENST00000453312	ENST00000453312.1	9030594	9039988	1	Y	OFD1 pseudogene 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:23875]
ENSG00000238073	unprocessed_pseudogene	ENSG00000238073.1	ENST00000457961	ENST00000457961.1	7671743	7676024	-1	Y	RNA binding motif protein Y-linked family 2 member H, pseudogene [Source:HGNC Symbol;Acc:HGNC:23893]
ENSG00000275866	processed_pseudogene	ENSG00000275866.1	ENST00000621514	ENST00000621514.1	8517364	8517748	-1	Y	testis specific protein, Y-linked 1 (TSPY1) pseudogene
ENSG00000271595	processed_pseudogene	ENSG00000271595.1	ENST00000604289	ENST00000604289.1	17464879	17465214	-1	Y	elongin C pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:49176]
ENSG00000183704	unprocessed_pseudogene	ENSG00000183704.7	ENST00000331172	ENST00000331172.7	11340579	11385687	-1	Y	solute carrier family 9 member B1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37492]
ENSG00000232927	processed_pseudogene	ENSG00000232927.1	ENST00000427677	ENST00000427677.1	3682805	3683868	1	Y	USP12 pseudogene Y-linked [Source:HGNC Symbol;Acc:HGNC:23195]
ENSG00000277438	processed_pseudogene	ENSG00000277438.1	ENST00000622542	ENST00000622542.1	20570222	20570519	-1	Y	lysine demethylase 5D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23976]
ENSG00000259154	unprocessed_pseudogene	ENSG00000259154.1	ENST00000557360	ENST00000557360.1	11314921	11316187	1	Y	double homeobox 4 like 17 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37717]
ENSG00000273589	unprocessed_pseudogene	ENSG00000273589.1	ENST00000612840	ENST00000612840.1	22646031	22646327	-1	Y	testis specific protein, Y-linked 1 (TSPY1) pseudogene
ENSG00000273863	processed_pseudogene	ENSG00000273863.1	ENST00000614118	ENST00000614118.1	7905536	7907303	-1	Y	tripartite motif containing 60 (TRIM60) pseudogene
ENSG00000271375	processed_pseudogene	ENSG00000271375.1	ENST00000604178	ENST00000604178.1	11473727	11474237	-1	Y	immunoglobulin kappa variable 1D-39 (IGKV1D-39) pseudogene
ENSG00000224634	processed_pseudogene	ENSG00000224634.1	ENST00000447526	ENST00000447526.1	8350931	8352143	1	Y	zinc finger protein 736 pseudogene 6, Y-linked [Source:HGNC Symbol;Acc:HGNC:38440]
ENSG00000285470	processed_pseudogene	ENSG00000285470.1	ENST00000645906	ENST00000645906.1	5887504	5888740	1	Y	TUSC2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23963]
ENSG00000234620	unprocessed_pseudogene	ENSG00000234620.1	ENST00000421058	ENST00000421058.1	15348662	15456074	-1	Y	pseudouridine 5'-phosphatase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20200]
ENSG00000236690	unprocessed_pseudogene	ENSG00000236690.2	ENST00000421675	ENST00000421675.1	7690511	7692678	1	Y	testis specific protein, Y-linked 1 (TSPY1) pseudogene
ENSG00000273693	processed_pseudogene	ENSG00000273693.1	ENST00000618128	ENST00000618128.1	11085476	11086061	-1	Y	CDRT15 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:38413]
ENSG00000223422	unprocessed_pseudogene	ENSG00000223422.1	ENST00000439805	ENST00000439805.1	7678899	7681028	1	Y	testis specific protein, Y-linked 1 (TSPY1) pseudogene
ENSG00000231159	unprocessed_pseudogene	ENSG00000231159.1	ENST00000449148	ENST00000449148.1	21972313	22005349	1	Y	OFD1 pseudogene 8 Y-linked [Source:HGNC Symbol;Acc:HGNC:23880]
ENSG00000225653	processed_pseudogene	ENSG00000225653.1	ENST00000458209	ENST00000458209.1	3777997	3779546	-1	Y	ring finger protein 19B pseudogene Y-linked [Source:HGNC Symbol;Acc:HGNC:38398]
ENSG00000251618	unprocessed_pseudogene	ENSG00000251618.1	ENST00000509611	ENST00000509611.1	21895394	21897559	1	Y	testis specific protein, Y-linked 1 (TSPY1) pseudogene
ENSG00000229159	unprocessed_pseudogene	ENSG00000229159.1	ENST00000440136	ENST00000440136.1	22183850	22186021	1	Y	testis specific protein Y-linked 23, pseudogene [Source:HGNC Symbol;Acc:HGNC:38594]
ENSG00000228578	unprocessed_pseudogene	ENSG00000228578.1	ENST00000422712	ENST00000422712.1	17516836	17519038	-1	Y	tubulin beta 1 class VI pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23981]
ENSG00000275280	processed_pseudogene	ENSG00000275280.1	ENST00000619838	ENST00000619838.1	7656968	7657352	1	Y	testis specific protein, Y-linked 1 (TSPY1) pseudogene
ENSG00000270242	processed_pseudogene	ENSG00000270242.1	ENST00000605584	ENST00000605584.1	11395699	11397076	1	Y	ACTR3B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37724]
ENSG00000236477	processed_pseudogene	ENSG00000236477.1	ENST00000438550	ENST00000438550.1	12244752	12245457	1	Y	ribosomal protein S24 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10412]
ENSG00000237997	processed_pseudogene	ENSG00000237997.1	ENST00000422174	ENST00000422174.1	19986575	19987852	-1	Y	regulator of chromosome condensation 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38419]
ENSG00000244246	processed_pseudogene	ENSG00000244246.1	ENST00000451913	ENST00000451913.1	7913422	7914090	-1	Y	zinc finger protein 736 pseudogene 8, Y-linked [Source:HGNC Symbol;Acc:HGNC:38406]
ENSG00000291444	unprocessed_pseudogene	ENSG00000291444.1	ENST00000707576	ENST00000707576.1	835225	845930	-1	HG1532_PATCH	RNA binding motif protein Y-linked family 3 member A, pseudogene [Source:HGNC Symbol;Acc:HGNC:23286]
ENSG00000291445	processed_pseudogene	ENSG00000291445.1	ENST00000707577	ENST00000707577.1	33367	34984	-1	HG1532_PATCH	chromodomain Y-linked 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:23849]
ENSG00000291446	unprocessed_pseudogene	ENSG00000291446.1	ENST00000707578	ENST00000707578.1	848837	851006	1	HG1532_PATCH	testis specific protein Y-linked 25, pseudogene [Source:HGNC Symbol;Acc:HGNC:38726]
ENSG00000291447	unprocessed_pseudogene	ENSG00000291447.1	ENST00000707579	ENST00000707579.1	50976	53085	1	HG1532_PATCH	USP9Y pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:38758]
ENSG00000291448	unprocessed_pseudogene	ENSG00000291448.1	ENST00000707580	ENST00000707580.1	864903	865370	-1	HG1532_PATCH	testis specific protein Y-linked 16, pseudogene [Source:HGNC Symbol;Acc:HGNC:37712]
ENSG00000291449	unprocessed_pseudogene	ENSG00000291449.1	ENST00000707581	ENST00000707581.1	56911	71893	-1	HG1532_PATCH	USP9Y pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37740]
ENSG00000291450	processed_pseudogene	ENSG00000291450.1	ENST00000707582	ENST00000707582.1	98197	98529	1	HG1532_PATCH	elongin C pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:38141]
ENSG00000291451	unprocessed_pseudogene	ENSG00000291451.1	ENST00000707583	ENST00000707583.1	178412	190151	-1	HG1532_PATCH	RNA binding motif protein Y-linked family 1 member A3, pseudogene [Source:HGNC Symbol;Acc:HGNC:18849]
ENSG00000291452	processed_pseudogene	ENSG00000291452.1	ENST00000707584	ENST00000707584.1	193081	193329	1	HG1532_PATCH	testis specific protein, Y-linked 1 (TSPY1) pse
ENSG00000291457	transcribed_unprocessed_pseudogene	ENSG00000291457.1	ENST00000707596	ENST00000707596.1	303320	305312	-1	HG1532_PATCH	testis specific protein, Y-linked family pseudogene
ENSG00000225433	unprocessed_pseudogene	ENSG00000225433.3	ENST00000455231	ENST00000455231.3	11445418	11445564	-1	Y	MT-ND1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:42061]
ENSG00000235857	processed_pseudogene	ENSG00000235857.1	ENST00000431853	ENST00000431853.1	56855244	56855488	1	Y	CTBP2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23940]
ENSG00000223955	processed_pseudogene	ENSG00000223955.1	ENST00000417434	ENST00000417434.1	8363536	8363959	-1	Y	MT-ND6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38730]
ENSG00000270455	processed_pseudogene	ENSG00000270455.1	ENST00000603738	ENST00000603738.1	11335627	11337693	1	Y	poly(A) binding protein cytoplasmic 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37985]
ENSG00000291460	transcribed_unprocessed_pseudogene	ENSG00000291460.1	ENST00000707603	ENST00000707603.1	384417	447256	-1	HG1532_PATCH	family with sequence similarity 197 Y-linked member 2 [Source:HGNC Symbol;Acc:HGNC:18848]
ENSG00000291461	transcribed_unprocessed_pseudogene	ENSG00000291461.1	ENST00000707604	ENST00000707604.1	506130	508122	-1	HG1532_PATCH	family with sequence similarity 197 Y-linked member 4 [Source:HGNC Symbol;Acc:HGNC:37466]
ENSG00000229940	unprocessed_pseudogene	ENSG00000229940.1	ENST00000427496	ENST00000427496.1	22305925	22307951	-1	Y	testis specific protein Y-linked 22, pseudogene [Source:HGNC Symbol;Acc:HGNC:38522]
ENSG00000234385	processed_pseudogene	ENSG00000234385.1	ENST00000452257	ENST00000452257.1	11781052	11782527	-1	Y	regulator of chromosome condensation 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37710]
